Symbol,Name,Last,1M %Chg,52W %Chg,50D Rel Str,100D His Vol,Std Dev,EPS Growth Prv Yr,PEG,ROA%,Debt/Equity
ILMN,Illumina Inc,486.52,0.04,0.24,0.60,0.31,0.74,0.15,N/A,0.09,0.34
INCY,Incyte Corp,78.62,-0.08,-0.25,0.45,0.23,-0.68,1.16,0.98,0.15,0.01
INFO,IHS Markit Ltd,115.55,0.03,0.44,0.61,0.19,0.39,0.27,N/A,0.06,0.53
INTC,Intel Corp,55.96,0.00,-0.08,0.48,0.26,-0.40,-0.04,1.58,0.15,0.42
INTU,Intuit Inc,521.31,0.09,0.76,0.67,0.22,1.95,0.30,4.66,0.16,0.23
IP,International Paper Company,57.86,-0.05,0.58,0.49,0.22,-0.95,0.33,N/A,0.04,1.02
IPG,Interpublic Group of Companies,34.11,0.07,0.90,0.57,0.31,-0.70,3.09,1.35,0.05,0.99
IPGP,Ipg Photonics Corp,212.09,0.04,0.19,0.51,0.38,-0.60,1.93,N/A,0.09,0.01
IQV,Iqvia Holdings Inc,244.91,0.00,0.49,0.58,0.19,0.59,0.37,2.31,0.05,1.94
IR,Ingersoll Rand Inc,48.50,0.04,0.52,0.51,0.26,-0.15,3.00,N/A,0.01,0.42
IRM,Iron Mountain Inc,43.58,0.00,0.58,0.56,0.25,-0.62,0.37,9.26,0.04,8.91
ISRG,Intuitive Surg Inc,973.89,0.08,0.43,0.63,0.26,2.83,0.34,8.11,0.15,0.00
IT,Gartner Inc,257.09,0.07,1.06,0.68,0.28,0.22,0.67,2.92,0.07,2.19
